source	target	weight
w_e	w_ue	7.050931e-04
w_e	w_u@	1.410186e-03
n_g	N	9.659775e-02
r_u	z`_ua	1.609918e-04
r_u	z`_u	6.621911e-04
r_u	z`	2.424889e-08
k	kh	1.644433e-02
x_v	s\_y	6.634868e-04
p_v	ph_y	6.435845e-04
l_a	l_A	6.459010e-04
l_a	l_a	7.394106e-04
s_u	s_u	6.622909e-04
s_u	s	2.435193e-08
s_u	s_ua	1.618217e-04
r_e	z`_7	6.621911e-04
r_e	z`_@	7.302087e-04
d_v	t_y	6.433645e-04
z_v	ts_y	6.604783e-04
c_v	tsh_y	6.604783e-04
w_o,w_uo	#	1.000000e+00
i,i	#	1.000000e+00
y_a,j_iA	n_g,N	1.000000e+00
y_a,j_ia	#	1.000000e+00
g_a,k_A	n_g,N	1.000000e+00
r_i,z`_i`	#	1.000000e+00
w,w	u_i,ue_:\i	1.000000e+00
b_a,p_A	n_g,N	1.000000e+00
g_u,k_u	#	1.000000e+00
c_v,tsh_y	#	1.000000e+00
r_v,z`_y	#	1.000000e+00
j_v,ts\_y	#	1.000000e+00
g_v,k_y	#	1.000000e+00
f_v,f_y	#	1.000000e+00
u_o,w_uo	#	1.000000e+00
z_o,ts_U	n_g,N	1.000000e+00
h_o,x_U	n_g,N	1.000000e+00
f_o,f_U	n_g,N	1.000000e+00
m_o,m_U	n_g,N	1.000000e+00
b_o,p_U	n_g,N	1.000000e+00
d_e,t_@	n_g,N	1.000000e+00
g_e,k_7	#	1.000000e+00
x_u,s\_y{	a_n,:n	1.000000e+00
j_u,ts\_y	#	1.000000e+00
h_u,x_u	#	1.000000e+00
d_o,t_U	n_g,N	1.000000e+00
k_v,kh_y	#	1.000000e+00
p_o,ph_U	n_g,N	1.000000e+00
d_u,t_u	#	1.000000e+00
s_u,s_u	#	1.000000e+00
e_r,a_r\`	#	1.000000e+00
t_u,th_u	#	1.000000e+00
x_u,s\_y	#	1.000000e+00
q_u,ts\h_y	#	1.000000e+00
q_v,ts\h_y	#	1.000000e+00
n_u,n_u	#	1.000000e+00
f_u,f_u	#	1.000000e+00
p_u,ph_u	#	1.000000e+00
b_u,p_u	#	1.000000e+00
l_i,l_i	#	5.000000e-01
l_i,l_i	n_g,N	5.000000e-01
h_a,x_A	n_g,N	1.000000e+00
s_a,s_a	#	1.000000e+00
l_v,l_y	#	1.000000e+00
m_a,m_a	#	1.000000e+00
p_e,ph_7	#	1.000000e+00
s_e,s_@	n_g,N	1.000000e+00
c_o,tsh_U	n_g,N	1.000000e+00
f_a,f_a	#	1.000000e+00
t_i,th_i	n_g,N	5.000000e-01
t_i,th_i	#	5.000000e-01
n_v,n_y	#	1.000000e+00
m_v,m_y	#	1.000000e+00
s_v,s_y	#	1.000000e+00
y_o,j_iAU	#	1.000000e+00
f_a,f_A	n_g,N	1.000000e+00
l_o,l_U	n_g,N	1.000000e+00
l_e,l_@	n_g,N	1.000000e+00
y_e,j_ie	#	1.000000e+00
p_e,ph_@	n_g,N	1.000000e+00
n,:n	#	1.000000e+00
m_o,m_uo	#	1.000000e+00
c_h,ts`h	i_o,iU	3.846154e-02
c_h,ts`h	v_e,yE	3.846154e-02
c_h,ts`h	y_u,y	3.846154e-02
c_h,ts`h	e,7	3.846154e-02
c_h,ts`h	o,o	3.846154e-02
c_h,ts`h	u_i,ue_:\i	3.846154e-02
c_h,ts`h	e_n,@_:n	3.846154e-02
c_h,ts`h	a,A	3.846154e-02
c_h,ts`h	a_o,AU	3.846154e-02
c_h,ts`h	a,a	3.846154e-02
c_h,ts`h	i,i`	3.846154e-02
c_h,ts`h	u_o,uo	3.846154e-02
c_h,ts`h	a_i,a_:\i	3.846154e-02
c_h,ts`h	o_u,@U	3.846154e-02
