source	target	weight
g_o,g_o	#	1.000000e+00
y_i,i	#	1.000000e+00
m_m,cl_m	o,o	2.000000e-01
m_m,cl_m	a,a	2.000000e-01
m_m,cl_m	i,i	2.000000e-01
m_m,cl_m	u,u	2.000000e-01
m_m,cl_m	e,e	2.000000e-01
g_g,cl_g	a,a	2.000000e-01
g_g,cl_g	u,u	2.000000e-01
g_g,cl_g	i,i	2.000000e-01
g_g,cl_g	o,o	2.000000e-01
g_g,cl_g	e,e	2.000000e-01
d_y,dy	i,i	2.000000e-01
d_y,dy	e,e	2.000000e-01
d_y,dy	o,o	2.000000e-01
d_y,dy	u,u	2.000000e-01
d_y,dy	a,a	2.000000e-01
h_h,cl_hy	y_i,i	2.000000e-01
h_h,cl_hy	y_a,a	2.000000e-01
h_h,cl_hy	y_u,u	2.000000e-01
h_h,cl_hy	y_e,e	2.000000e-01
h_h,cl_hy	y_o,o	2.000000e-01
z_u,z_u	#	1.000000e+00
z_a,z_a	#	1.000000e+00
r_o,r_o	#	1.000000e+00
v_a,v_a	#	1.000000e+00
r_y,ry	u,u	2.000000e-01
r_y,ry	a,a	2.000000e-01
r_y,ry	i,i	2.000000e-01
r_y,ry	e,e	2.000000e-01
r_y,ry	o,o	2.000000e-01
l_l,cl_r	o,o	2.000000e-01
l_l,cl_r	a,a	2.000000e-01
l_l,cl_r	i,i	2.000000e-01
l_l,cl_r	u,u	2.000000e-01
l_l,cl_r	e,e	2.000000e-01
k_y,ky	e,e	2.000000e-01
k_y,ky	o,o	2.000000e-01
k_y,ky	u,u	2.000000e-01
k_y,ky	i,i	2.000000e-01
k_y,ky	a,a	2.000000e-01
r_u,r_u	#	1.000000e+00
n_a,n_a	#	1.000000e+00
o,o	#	1.000000e+00
h_h,cl_h	i,i	2.000000e-01
h_h,cl_h	e,e	2.000000e-01
h_h,cl_h	u,u	2.000000e-01
h_h,cl_h	a,a	2.000000e-01
h_h,cl_h	o,o	2.000000e-01
k_i,k_i	#	1.000000e+00
g_w,gw	i,i	2.000000e-01
g_w,gw	o,o	2.000000e-01
g_w,gw	e,e	2.000000e-01
g_w,gw	u,u	2.000000e-01
g_w,gw	a,a	2.000000e-01
s_s,cl_s	o,o	2.000000e-01
s_s,cl_s	u,u	2.000000e-01
s_s,cl_s	i,i	2.000000e-01
s_s,cl_s	a,a	2.000000e-01
s_s,cl_s	e,e	2.000000e-01
v_i,v_i	#	1.000000e+00
n_n,cl_ny	y_i,i	2.000000e-01
n_n,cl_ny	y_e,e	2.000000e-01
n_n,cl_ny	y_o,o	2.000000e-01
n_n,cl_ny	y_u,u	2.000000e-01
n_n,cl_ny	y_a,a	2.000000e-01
p_p,cl_p	a,a	2.000000e-01
p_p,cl_p	e,e	2.000000e-01
p_p,cl_p	o,o	2.000000e-01
p_p,cl_p	u,u	2.000000e-01
p_p,cl_p	i,i	2.000000e-01
t_o,t_o	#	1.000000e+00
u,u	#	1.000000e+00
w_u,w_u	#	1.000000e+00
d_d,cl_d	a,a	2.000000e-01
d_d,cl_d	u,u	2.000000e-01
d_d,cl_d	i,i	2.000000e-01
d_d,cl_d	o,o	2.000000e-01
d_d,cl_d	e,e	2.000000e-01
c_l,cl	#	1.000000e+00
h_e,h_e	#	1.000000e+00
c_h,ch	i,i	2.000000e-01
c_h,ch	e,e	2.000000e-01
c_h,ch	o,o	2.000000e-01
c_h,ch	u,u	2.000000e-01
c_h,ch	a,a	2.000000e-01
g_g,cl_gy	y_e,e	2.000000e-01
g_g,cl_gy	y_u,u	2.000000e-01
g_g,cl_gy	y_o,o	2.000000e-01
g_g,cl_gy	y_a,a	2.000000e-01
g_g,cl_gy	y_i,i	2.000000e-01
f_a,f_a	#	1.000000e+00
s_e,s_e	#	1.000000e+00
p_p,cl_py	y_u,u	2.000000e-01
p_p,cl_py	y_o,o	2.000000e-01
p_p,cl_py	y_e,e	2.000000e-01
